title,media_condition,sleeve_condition,price,buy_url,seller_rating,seller_url
"Tatsuro Yamashita - For You (LP, Album, Promo, Bag)",Very Good Plus (VG+),Very Good (VG),256.0,https://www.discogs.com/sell/item/2065716593,100.0,https://www.discogs.com/seller/VinylShiloh/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),170.99,https://www.discogs.com/sell/item/2054591657,99.9,https://www.discogs.com/seller/FaceRecordsNYC/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good (VG),Very Good (VG),109.99,https://www.discogs.com/sell/item/2065516664,99.7,https://www.discogs.com/seller/AnimatedMusic/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Near Mint (NM or M-),140.0,https://www.discogs.com/sell/item/2014987796,99.6,https://www.discogs.com/seller/dreamscometrue/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),107.99,https://www.discogs.com/sell/item/2064452792,100.0,https://www.discogs.com/seller/Posse_Cut/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Near Mint (NM or M-),130.5,https://www.discogs.com/sell/item/1977945827,100.0,https://www.discogs.com/seller/_Disclub_/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),112.0,https://www.discogs.com/sell/item/2063496437,99.9,https://www.discogs.com/seller/ella_records/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),126.0,https://www.discogs.com/sell/item/2060277776,100.0,https://www.discogs.com/seller/VinylShiloh/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),112.0,https://www.discogs.com/sell/item/2055897710,99.8,https://www.discogs.com/seller/deadstockrecords/profile
"Tatsuro Yamashita - For You (LP, Album, Ltd, Pic, RE)",Near Mint (NM or M-),Very Good (VG),218.0,https://www.discogs.com/sell/item/2059949669,99.9,https://www.discogs.com/seller/ella_records/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),170.99,https://www.discogs.com/sell/item/2054591612,99.9,https://www.discogs.com/seller/FaceRecordsNYC/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),183.99,https://www.discogs.com/sell/item/2054591318,99.9,https://www.discogs.com/seller/FaceRecordsNYC/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),136.0,https://www.discogs.com/sell/item/2053602731,100.0,https://www.discogs.com/seller/vinyldeliveryservice/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),132.4,https://www.discogs.com/sell/item/2044571675,100.0,https://www.discogs.com/seller/ARDOURE/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Near Mint (NM or M-),102.0,https://www.discogs.com/sell/item/2041176500,98.8,https://www.discogs.com/seller/DWTX/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),116.99,https://www.discogs.com/sell/item/2040018860,100.0,https://www.discogs.com/seller/Posse_Cut/profile
"Tatsuro Yamashita - For You (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),125.0,https://www.discogs.com/sell/item/2040182819,100.0,https://www.discogs.com/seller/obijapansamurai/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Near Mint (NM or M-),185.0,https://www.discogs.com/sell/item/1191054569,98.0,https://www.discogs.com/seller/tenorjiquel/profile
"Tatsuro Yamashita - For You (LP, Album, Ltd, Pic, RE)",Near Mint (NM or M-),Very Good Plus (VG+),246.6,https://www.discogs.com/sell/item/2017112864,100.0,https://www.discogs.com/seller/vinyldeliveryservice/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Near Mint (NM or M-),154.0,https://www.discogs.com/sell/item/1908036182,100.0,https://www.discogs.com/seller/OBI-ROCK-from-Japan/profile
"Tatsuro Yamashita - For You (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),148.99,https://www.discogs.com/sell/item/2003809229,99.8,https://www.discogs.com/seller/DeeperThanTheDeepest/profile
